vertices,Edges,pathlength,time taken,iteration
10,44.4,8.0,604.7,1.0
20,187.5,8.0,1686.3,1.0
30,434.8,8.0,3074.15,1.0
40,779.9,8.0,4648.3,1.0
50,1213.3,8.0,6531.4,1.0
60,1751.5,8.0,8740.25,1.0
70,2397.9,8.0,11411.75,1.0
80,3143.7,8.0,14260.05,1.0
90,4007.7,8.0,17359.85,1.0
100,4939.7,8.0,20654.65,1.0
150,11186.3,8.0,43263.95,1.0
200,19929.4,8.0,75982.85,1.0
250,31139.1,8.0,114322.6,1.0
300,44859.1,8.0,159505.5,1.0
350,61108.1,8.0,215833.55,1.0
400,79770.1,8.0,269948.0,1.0
450,100970.7,8.0,339391.55,1.0
500,124730.2,8.0,423360.4,1.0
